Student_ID,Gender,Study_Hours,Attendance,Previous_Score,Final_Score,Result
1,Male,5.7,83.3,72.1,76.9,Pass
2,Male,4.2,80.6,77.1,66,Pass
3,Male,2.3,76,63.3,45.4,Pass
4,Female,2.2,72.3,95.1,60.5,Pass
5,Female,4,86.9,81.1,64.9,Pass
6,Male,3.5,88.5,61.5,60.9,Pass
7,Male,4.3,69.7,82.4,62.6,Pass
8,Female,5.5,69.8,80.7,62.7,Pass
9,Male,5.5,84,66.5,68.3,Pass
10,Male,5.5,74.7,40.8,57.7,Pass
11,Male,3.8,87,64.2,71.1,Pass
12,Male,3.8,78.1,66.8,55.1,Pass
13,Female,4.1,100,64,60.5,Pass
14,Female,,67.6,68.5,65.7,Pass
15,Female,4,84.2,84.6,63.3,Pass
16,Female,4.9,93.4,84.1,67.6,Pass
17,,4.4,89.5,57.1,58.5,Pass
18,Female,5.7,76,78,86.1,Pass
19,Female,4.9,83.7,84.3,74.5,Pass
20,Female,15,76.4,54.1,94.9,Pass
21,Male,4.2,77.5,86.7,61,Pass
22,Female,5.7,88.9,32.4,59.9,Pass
23,Female,7,79,60.9,69,Pass
24,Female,5.5,72,72.6,70,Pass
25,Male,2,77.7,67.5,51,Pass
26,Female,3.8,82.3,39.6,60.7,Pass
27,Female,4.6,89.4,62.5,61.8,Pass
28,Female,6.2,56.7,60.4,59.6,Pass
29,Female,5.4,80,47.8,57.1,Pass
30,Male,6.8,74.8,59.3,59.3,Pass
31,Female,6.7,81.6,51.2,67.4,Pass
32,Male,4.5,85.6,86.9,70.7,Pass
33,Male,6.9,15,73.2,57.6,Pass
34,Female,5.5,85.2,,62.3,Pass
35,Male,4,61.6,58.1,50,Pass
36,Female,4.8,75.9,81.1,69.6,Pass
37,Female,2,92.6,88.6,64.6,Pass
38,Male,6.7,88,,71.1,Pass
39,Male,5.1,92.2,57.3,65.4,Pass
40,,4.9,79.2,78.5,57.7,Pass
41,Male,9.9,93.9,88.3,82.7,Pass
42,Male,5.4,92,71.4,74.5,Pass
43,Male,4.6,82.6,41.5,60.8,Pass
44,Female,4,97.1,64.8,54.3,Pass
45,Female,5.2,88.9,,5,Fail
46,Female,6.4,86.7,38.6,60.6,Pass
47,Male,6.2,86.2,71.4,69.8,Pass
48,Male,4,75.5,91,73.9,Pass
49,Male,4.1,80.6,87.1,70.6,Pass
50,Female,5.4,79.3,65.7,60.8,Pass
51,Female,6,92.6,34.7,62.3,Pass
52,Male,6.6,82.8,61.6,67.8,Pass
53,Male,3.7,81.8,64.7,59.4,Pass
54,Male,3.9,86.3,79.7,58.3,Pass
55,Male,3.6,70.9,74.4,57.2,Pass
56,Male,4.2,100,67.6,62.6,Pass
57,Female,2.6,72.3,74.1,61.2,Pass
58,Female,3.4,81.7,72.1,58.4,Pass
59,Female,,79.4,64,63.3,Pass
60,Female,5.4,91.2,5,40,Pass
61,Male,6.7,,70.4,71.7,Pass
62,Female,3.8,79.2,77,65,Pass
63,Male,5.3,,68,66.8,Pass
64,Female,7,79.3,77.8,73.4,Pass
65,Male,7.2,79.3,70.5,72.5,Pass
66,Female,4.8,71.9,56.2,49.7,Pass
67,Male,4.2,99.5,91.7,80.1,Pass
68,Female,5,100,55.6,65.5,Pass
69,Male,4.9,96.5,58.3,66.5,Pass
70,Male,5.7,80.3,,59.4,Pass
71,,5.2,80.2,77.2,67.3,Pass
72,Female,6.5,85.2,53.1,73.1,Pass
73,Female,3.1,74.6,53.2,54,Pass
74,Female,6,84.9,41,58.4,Pass
75,Male,4.1,84.9,61.1,55.2,Pass
76,Female,4.1,77.6,82.4,61.1,Pass
77,Female,3.4,95.7,58.8,57,Pass
78,Female,3.1,62.6,58.5,45.7,Pass
79,,4.2,88.5,72.6,57.7,Pass
80,Female,16,84.4,71.8,110,Pass
81,Male,3.8,75.1,57.3,48.1,Pass
82,Male,5.5,66.8,63,57.6,Pass
83,Male,4.8,84.5,88.5,70.6,Pass
84,Male,1.5,87.8,46.8,40.7,Pass
85,Female,3.4,82.3,67.1,57.2,Pass
86,Male,4.7,75.1,75.7,56.8,Pass
87,Female,5.6,84.3,77.6,66.1,Pass
88,Female,2.3,56.2,37.7,29.5,Fail
89,Female,2.7,71.6,,42.3,Pass
90,Female,6.5,72.1,56.5,64.4,Pass
91,Male,5.1,75.2,71,58.4,Pass
92,Male,4.4,86,65.3,65.8,Pass
93,Female,5,79.4,76.6,70.7,Pass
94,Male,4.4,78.5,52.3,59,Pass
95,Female,7.1,89.2,48.2,73.1,Pass
96,Male,,68.7,66.8,65.3,Pass
97,Female,4.1,91.5,90.2,64.9,Pass
98,Male,3.3,82.6,53.2,52.9,Pass
99,Female,4,110,100,71.7,Pass
100,Male,6.2,74.6,64.7,64.3,Pass
101,Female,5.6,90.4,81.9,75.2,Pass
102,Male,3.2,84.5,76.8,58,Pass
103,Female,4.5,,86.5,70.6,Pass
104,Female,4.6,85.7,72.1,64.7,Pass
105,Male,5.5,79.9,76.6,69.2,Pass
106,Male,3.8,82.8,83.9,63.5,Pass
107,Female,4.6,76,48.5,49.2,Pass
108,Male,4.7,76.1,60.6,65.1,Pass
109,Female,1.6,72,42.7,47.8,Pass
110,Male,6.5,,63.2,68.7,Pass
111,Female,5.7,71.1,99.2,85.2,Pass
112,Male,3.6,90.7,55.8,60.9,Pass
113,Female,6.1,82.8,52,63.6,Pass
114,Female,2.6,67.9,63.7,44.5,Pass
115,Female,2,67.1,70.6,44,Pass
116,Female,4,88.7,79.1,64.2,Pass
117,Female,4.6,93.2,56.7,58.4,Pass
118,Male,3.2,82.3,54,52.6,Pass
119,Female,2.8,99.4,64.4,54.8,Pass
120,Male,3.5,81.3,68.8,63.5,Pass
121,Male,3.7,68.6,41.4,47,Pass
122,Male,4.1,91.8,68.9,70.8,Pass
123,Female,2.7,84.1,45.8,51.6,Pass
124,Female,3.5,90.8,64.2,62.6,Pass
125,Male,3.5,97.1,89.9,67.4,Pass
126,Male,4.9,93.3,61.5,50.9,Pass
127,Female,7.3,79.7,63.9,76,Pass
128,Female,,83.1,61.8,81,Pass
129,Female,4.2,77.1,79.8,59.7,Pass
130,Male,3,76.9,59.1,53.1,Pass
131,Male,4.5,100,72.2,69.5,Pass
132,Female,6.4,88.3,76,75.2,Pass
133,Female,5.5,85.9,53.5,60.3,Pass
134,Male,4.7,,78.6,62.1,Pass
135,Female,3.8,,49,50.9,Pass
136,Male,3.7,76.4,77.7,62.9,Pass
137,Male,5.4,90.5,61.7,60.6,Pass
138,Male,4.8,97.6,63.2,60.5,Pass
139,Male,6.8,73.9,52.4,58.8,Pass
140,Male,2.8,87.7,48.3,41.3,Pass
141,Male,5.3,84.6,59.2,70.8,Pass
142,Female,2.9,86.2,62.9,59.9,Pass
143,Female,,82,71.7,57.1,Pass
144,Female,4.3,68.5,78.7,62.5,Pass
145,Male,6.7,82,67.5,72.3,Pass
146,Male,2.4,84.7,76.2,55.9,Pass
147,Female,3.3,,79.7,61.9,Pass
148,Female,4.2,86.2,76.2,69.4,Pass
149,Female,3.6,100,,60,Pass
150,Female,16,86,87.3,110,Pass
151,Male,3.5,71.5,59.7,54.4,Pass
152,Female,3.2,73.8,63.4,54,Pass
153,Female,1.2,75,46.5,42.8,Pass
154,Male,6.6,84.5,75.2,66.4,Pass
155,Female,2.7,78,100,73.9,Pass
156,Male,3.8,83.2,76.7,57.7,Pass
157,Female,3.3,81.6,89.3,52.8,Pass
158,Male,3.7,83.5,75.4,68.4,Pass
159,Male,5.3,75.9,71.9,60.3,Pass
160,Female,5,74.6,62,66.7,Pass
161,Female,,73.9,54.6,60.4,Pass
162,Female,3.2,84.4,76.7,67.9,Pass
163,Female,4.8,99.2,91.9,78.4,Pass
164,Female,2.8,91.7,,51.6,Pass
165,Female,5.3,80.9,81.2,68.9,Pass
166,Male,5.6,74.3,51.6,58.1,Pass
167,Male,2.7,89.8,77.5,65,Pass
168,Female,3.3,95,50.7,46.8,Pass
169,Female,6.5,78,81.2,70.2,Pass
170,Male,3.7,77.1,63.1,5,Fail
171,Male,3.9,83.8,47.7,45.7,Pass
172,Female,5.1,89.3,81.1,71.9,Pass
173,Male,4.1,91.3,79.3,71.9,Pass
174,Male,4.8,85.6,82.4,64.4,Pass
175,Male,2.5,82.2,70.4,62.3,Pass
176,Female,4.5,83.4,78.9,56.3,Pass
177,Male,7.7,92.8,80.6,81.9,Pass
178,Female,3.9,71.7,,69,Pass
179,Female,5.7,88.1,60.1,69.1,Pass
180,Female,7.3,84.6,66.5,74,Pass
181,Male,6.6,73.2,84.1,64.8,Pass
182,Male,3.4,76.2,54.3,46.4,Pass
183,Male,2.3,66.4,60.2,43.5,Pass
184,Female,5.9,84,90.3,84.3,Pass
185,Female,4.5,75.8,80.6,69.8,Pass
186,Female,1.2,77.7,73.6,46.6,Pass
187,Female,5.7,80.3,86.6,66.6,Pass
188,Female,,80.7,97.1,73.3,Pass
189,Female,7.2,78.3,50.4,72.6,Pass
190,,4.4,87.1,51.1,63.4,Pass
191,,2.1,72.6,74.7,51.8,Pass
192,Male,2.4,84.5,80.5,57.3,Pass
193,Male,3.2,70.6,45.3,48,Pass
194,Female,4.8,84,100,79,Pass
195,Male,7.1,94,78.9,83.7,Pass
196,Female,2.4,73.6,84.5,52.8,Pass
197,Female,1.8,66.3,63.7,53.6,Pass
198,Male,1.1,90.5,72.2,50.5,Pass
199,Female,,74.4,58.5,45,Pass
200,Male,8.1,77.2,5,51.5,Pass
201,Male,5.8,84.8,94.3,76.8,Pass
202,Male,6.8,89.1,70.8,77.6,Pass
203,Male,4.1,87,68.9,62,Pass
204,Male,,81,70.2,68.1,Pass
205,Male,5.5,88.9,72.8,63.2,Pass
206,Male,4.7,84.9,67,57.4,Pass
207,Male,1.9,84.6,60.8,49.8,Pass
208,Male,4.9,81,74.2,56,Pass
209,Female,0.8,88.7,83.9,56.9,Pass
210,Female,3.9,84.1,64.2,53.8,Pass
211,Male,4.1,87.1,82.7,72.1,Pass
212,Female,3,91.2,63,62.5,Pass
213,Female,6.4,91.1,81.1,71,Pass
214,Male,1.7,90.9,43.9,49.7,Pass
215,Female,3.9,84.3,48.1,56.8,Pass
216,Female,6.7,77.6,61.5,68.1,Pass
217,Male,5.1,84.5,66.1,55.5,Pass
218,Male,2.9,75.4,64.3,55.2,Pass
219,Female,7,65,38.5,62.9,Pass
220,Male,6.5,79.3,56.3,70.8,Pass
221,Male,5.5,91.5,76,67.7,Pass
222,Female,5.4,87.3,70.4,73.3,Pass
223,Male,2.8,72.7,66.7,51.6,Pass
224,Female,4.1,73.8,67.1,58.8,Pass
225,Male,3.1,77.9,81.3,65.8,Pass
226,Male,6,88.7,56.3,69.7,Pass
227,Male,2.9,93.7,71.3,53.6,Pass
228,,5.1,78.1,,62.2,Pass
229,Male,4.2,,51.9,59.6,Pass
230,Female,4.9,93.7,63.9,67.4,Pass
231,,3.2,80.6,76,73.7,Pass
232,Male,5.8,82.4,,70.9,Pass
233,Female,4.3,86.9,52.1,57.2,Pass
234,Male,2.8,92.7,39.6,48.2,Pass
235,Female,7.2,90.7,70.8,76.5,Pass
236,Male,5.8,72,46.9,54.1,Pass
237,Female,4.1,91.9,77,65.7,Pass
238,Female,6.2,62.5,92.6,77.9,Pass
239,Male,3.1,86,94.7,71.8,Pass
240,Female,5,99.1,86.8,78.4,Pass
241,Male,5.7,76.8,64.1,55.3,Pass
242,Male,4.6,87.6,74.6,72.8,Pass
243,Male,5.6,97.4,42.9,62.1,Pass
244,Female,3.2,63.2,40.6,31.3,Fail
245,Female,5.9,71.4,71.3,67.9,Pass
246,Female,2.7,68.9,56.3,45.2,Pass
247,Male,3.9,92.2,94.5,75,Pass
248,Male,2,60.3,85,56.4,Pass
249,Female,2.6,85,76.3,48.1,Pass
250,Female,6.1,75,75.7,76,Pass
251,Male,6.1,79.1,78.7,62.9,Pass
252,Male,3.6,,68.2,64.1,Pass
253,Female,2.5,79.9,46,54.5,Pass
254,Female,3.4,86.9,46.4,46.5,Pass
255,Female,5.1,83.8,62.7,59.6,Pass
256,Male,,93.4,76.8,67.8,Pass
257,Female,6.1,93.4,84.5,80.6,Pass
258,Female,5.4,68.3,79.7,59.4,Pass
259,Male,3.5,73.7,58.8,56.6,Pass
260,Male,5.8,79.2,69,63.9,Pass
261,Male,5.2,88.9,72.2,62.5,Pass
262,Male,2.9,64.6,53.1,41.8,Pass
263,Male,6,98.1,71.6,64.6,Pass
264,Male,4.4,79.1,52.3,61.7,Pass
265,Female,2.6,71.3,70.3,49.3,Pass
266,Male,,98.9,40.1,54.6,Pass
267,Female,3.7,70.3,44.1,50.9,Pass
268,Female,2.9,81.8,73.3,60.5,Pass
269,Male,4.8,79.7,53.7,58.5,Pass
270,Male,4.1,70.3,72.4,60.8,Pass
271,Male,4,100,77.7,72.5,Pass
272,Male,,63,82.1,65.5,Pass
273,Female,3.4,81.9,82.5,62.8,Pass
274,Male,4.2,86.1,65,56.7,Pass
275,Male,5.3,88.3,79.1,64.2,Pass
276,Male,4.6,70.8,43.6,44.2,Pass
277,Male,4.4,100,44.9,55.9,Pass
278,Female,5.4,87.3,,68.2,Pass
279,Female,3.2,71.3,94.4,67.3,Pass
280,Female,4.3,81,56.9,57,Pass
281,Male,4.5,82.5,56.3,63.5,Pass
282,Male,4.2,78.4,,61.8,Pass
283,Male,3.2,89.2,40.2,38.6,Fail
284,Female,4.5,72.6,78.2,65,Pass
285,Male,4.8,65.8,65.8,60,Pass
286,Female,4.9,76.3,71.1,58.1,Pass
287,Female,2.6,68.5,91.9,63,Pass
288,Female,5.5,,76,59.4,Pass
289,Female,6.1,77.1,86.7,73.6,Pass
290,Female,6.6,85.3,61.3,78.9,Pass
291,,5.4,75.3,78.2,71.2,Pass
292,Female,4.4,60.8,37.4,54.7,Pass
293,Female,4,73.1,71.5,55.5,Pass
294,,4.4,78,45.7,47.5,Pass
295,Female,4.2,85.7,61.2,56,Pass
296,Female,5.3,91.4,45.2,62.5,Pass
297,Female,3.3,74.9,51,43,Pass
298,Male,6.4,88.5,50.4,72.2,Pass
299,Male,5.3,80.4,47.6,52.5,Pass
300,Male,5.3,87.2,59.3,60,Pass